ID,AVERAGE of Height,AVERAGE of Weight
10368,186,75
10386,157,56
10389,168,61
10390,173,77
10397,172,53
10408,152,44
10424,171,65
10431,171,67
10444,169,58
10449,169,63
10451,163,52
10467,166,56
10470,161,63
10473,165,60
10482,170,66
10488,178,71
10491,166,63
10492,168,68
10496,168,56
10501,167,51
10502,171,64
10503,164,60
10505,158,51
10522,174,49
10526,174,80
10532,176,74
10544,175,59
10548,175,64
10557,162,63
10576,168,67
10593,165,58
10604,176,65
10607,168,51
10612,183,70
10619,194,80
10620,161,48
10623,172,53
10641,154,48
10650,150,48
10653,160,55
10656,170,70
10667,160,48
10676,173,72
10679,164,52
10680,163,55
10682,175,64
10684,162,58
10690,150,51
10691,165,53
10696,167,75
10697,169,56
10702,170,63
10703,165,56
10706,167,59
10716,170,65
10718,167,54
10747,165,60
10748,175,61
10751,157,53
10757,183,72
10766,167,62
10767,161,59
10768,178,64
10776,161,61
10802,175,89
10805,176,75
10809,170,57
10812,171,58
10815,170,50
10824,171,64
10828,182,69
10829,173,68
10835,171,62
10840,157,48
10851,166,65
10854,169,69
10870,173,59
10873,182,75
10876,175,58
10878,161,55
10882,179,68
10887,172,58
10890,167,48
10900,160,45
10902,170,60
10916,180,69
10924,163,58
10926,158,54
10930,175,66
10931,177,92
10935,162,49
10952,170,58
10955,177,70
10958,175,62
10960,175,62
10962,170,67
10963,166,63
10964,190,91
10966,166,55
10968,168,59
10973,171,59
10977,168,57
10978,183,85
10988,178,61
10996,169,58
11004,186,76
11007,174,55
11011,153,46
11015,170,51
11021,168,60
11023,163,72
11033,176,100
11034,160,82
11035,179,71
11041,178,70
11045,178,59
11047,167,64
11056,170,66
11058,170,57
11065,165,55
11086,182,68
11094,170,66
11098,174,70
11099,165,45
11109,174,70
11111,169,62
11114,175,56
11116,165,66
11118,164,57
11120,160,60
11121,174,66
11126,164,54
11129,168,70
11131,172,62
11134,185,90
11146,157,55
11147,170,60
11158,180,68
11163,162,54
11173,174,49
11176,158,57
11182,162,65
11183,164,49
11195,147,43
11203,163,46
11209,167,60
11217,169,50
11220,167,55
11223,142,35
11224,170,62
11226,179,60
11232,168,54
11233,160,51
11238,182,115
11239,180,73
11242,158,46
11254,170,65
11265,164,51
11267,170,62
11273,165,55
11275,165,52
11278,176,76
11279,176,63
11284,171,63
11286,166,52
11287,164,54
11288,162,46
11295,178,64
11300,180,87
11301,183,75
11304,184,84
11307,165,60
11320,178,66
11325,172,62
11335,174,65
11336,164,56
11338,171,72
11339,172,68
11343,159,56
11345,163,60
11356,160,47
11357,160,60
11368,166,56
11379,160,52
11383,171,58
11385,160,47
11387,154,52
11407,172,65
11416,173,66
11437,173,61
11448,173,75
11449,166,55
11452,158,56
11454,175,61
11458,162,55
11461,167,57
11462,177,68
11471,158,46
11472,153,41
11474,173,53
11476,181,61
11488,153,43
11495,143,47
11502,178,64
11506,157,52
11511,167,55
11516,167,59
11531,162,55
11533,161,59
11540,170,64
11542,164,51
11548,160,60
11550,168,64
11552,168,58
11560,174,70
11562,176,59
11564,161,64
11592,163,47
11600,170,63
11615,160,61
11618,170,89
11654,158,48
11655,167,47
11658,175,57
11671,175,66
11672,177,71
11680,166,66
11700,172,65
11707,161,51
11731,175,65
11735,167,66
11737,164,48
11738,174,61
11739,168,47
11740,165,72
11742,164,60
11744,173,58
11746,170,59
11749,150,44
11752,157,53
11756,174,65
11763,169,64
11764,170,65
11777,175,74
11779,189,85
11781,176,62
11782,184,85
11783,177,71
11785,180,72
11787,173,56
11788,168,57
11797,163,60
11800,168,50
11803,170,59
11807,166,58
11810,178,88
11811,178,83
11822,170,58
11827,173,63
11828,181,63
11829,182,63
11832,178,67
11837,166,48
11855,156,60
11856,163,48
11857,175,70
11859,165,50
11860,162,60
11875,160,50
11880,167,58
11883,175,59
11886,192,77
11887,170,65
11889,168,63
11890,162,57
11891,161,59
11895,172,61
11900,175,71
11906,170,62
11930,175,66
11943,168,64
11954,182,72
11973,167,55
11978,155,56
11982,168,60
11985,164,50
11986,165,55
11990,165,60
11995,170,54
12005,167,59
12008,180,75
12009,162,59
12010,163,56
12011,168,52
12013,150,54
12016,166,49
12020,173,69
12021,186,76
12022,161,59
12033,167,60
12037,151,42
12039,175,64
12040,181,70
12048,170,57
12049,182,69
12054,165,59
12057,181,61
12062,187,64
12076,170,52
12081,167,50
12084,167,58
12087,174,61
12089,163,70
12091,160,56
12094,170,56
12100,171,75
12107,168,56
12113,168,49
12117,175,63
12120,189,75
12122,170,70
12126,175,120
12133,159,49
12134,164,55
12135,165,60
12136,160,53
12137,154,48
12141,185,77
12142,153,50
12143,178,60
12146,163,50
12156,167,61
12162,162,59
12166,175,63
12173,173,81
12178,182,57
12191,157,58
12193,160,52
12201,169,60
12206,168,54
12213,173,70
12216,166,52
12223,163,50
12224,170,55
12227,162,54
12229,168,52
12232,167,46
12233,175,67
12237,167,62
12242,168,70
12245,171,62
12250,165,57
12253,163,55
12254,171,64
12265,169,60
12278,167,68
12290,182,68
12291,173,51
12300,162,59
12306,162,64
12313,180,79
12318,171,60
12345,173,72
12354,165,56
12355,174,64
12356,175,62
12369,168,67
12370,169,57
12373,175,64
12376,165,55
12378,171,62
12386,162,52
12391,168,59
12393,176,70
12394,157,48
12395,170,65
12399,170,58
12401,168,58
12404,162,56
12405,170,70
12410,163,49
12415,175,84
12421,165,60
12423,173,58
12426,154,45
12428,168,57
12434,167,62
12436,172,62
12439,165,60
12441,170,58
12442,168,60
12449,162,82
12452,163,53
12461,181,73
12464,162,58
12465,175,62
12468,165,55
12482,170,58
12484,156,37
12485,139,32
12486,176,53
12487,167,49
12494,160,49
12495,172,64
12496,180,72
12498,174,64
12502,169,63
12508,171,90
12509,178,85
12517,161,45
12520,170,60
12523,178,59
12524,163,57
12525,169,60
12534,173,55
12535,170,62
12540,160,40
12542,167,58
12545,166,63
12568,161,52
12575,160,48
12579,167,47
12581,167,55
12583,154,48
12588,172,74
12594,151,46
12599,178,66
12600,164,58
12604,173,68
12607,175,64
12611,172,63
12620,164,56
12629,179,68
12631,180,76
12635,182,75
12642,167,61
12643,171,54
12647,169,58
12648,152,44
12654,173,54
12655,168,65
12657,174,66
12661,168,68
12662,176,87
12663,166,80
12664,174,62
12667,183,68
12671,172,60
12673,182,72
12676,180,64
12677,189,80
12682,182,70
12693,175,70
12694,174,69
12699,171,69
12706,168,54
12707,162,57
12708,165,68
12711,175,72
12712,167,58
12715,170,66
12718,168,63
12731,178,66
12732,182,73
12733,160,52
12735,167,65
12737,170,66
12740,172,52
12743,164,56
12747,174,57
12754,170,55
12757,186,78
12762,157,44
12766,180,64
12769,174,79
12778,166,52
12779,172,59
12781,163,46
12782,165,61
12784,166,54
12785,166,56
12798,182,70
12799,160,52
12808,167,54
12813,170,54
12819,179,83
12847,172,63
12852,179,70
12856,168,62
12858,169,62
12878,157,52
12880,180,70
12891,165,62
12893,171,60
12898,172,62
12905,172,68
12907,183,65
12909,180,62
12912,179,63
12920,173,64
12922,183,75
12937,165,60
12939,158,52
12941,174,65
12942,173,70
12955,165,64
12963,164,56
12970,168,63
12972,165,53
12975,157,53
12977,179,71
12990,162,48
12991,173,64
12995,176,59
12997,163,52
13007,182,73
13008,183,80
13016,179,69
13019,158,56
13023,178,68
13025,174,56
13026,167,62
13042,173,68
13059,172,55
13061,167,60
13068,162,53
13070,172,62
13088,164,56
13090,156,50
13094,201,92
13095,169,65
13102,157,50
13103,160,53
13112,176,69
13113,175,62
13123,183,67
13124,169,59
13125,178,74
13129,168,59
13133,175,60
13134,176,60
13135,154,42
13137,176,63
13138,158,62
13140,163,57
13147,184,72
13154,172,61
13156,170,70
13165,168,55
13167,169,61
13168,165,57
13172,168,70
13175,172,60
13180,175,63
13183,165,58
13190,168,63
13200,170,63
13209,180,64
13213,152,54
13217,173,60
13227,168,61
13240,171,60
13241,168,62
13245,164,68
13248,180,72
13250,170,55
13251,175,64
13254,163,48
13279,159,49
13280,160,49
13284,166,55
13299,160,52
13303,178,72
13308,172,65
13309,180,72
13313,172,66
13317,178,63
13319,163,57
13325,168,63
13326,172,65
13344,165,53
13347,159,49
13348,179,75
13357,160,60
13364,166,56
13368,163,52
13369,173,66
13380,164,62
13384,175,70
13388,170,61
13394,167,63
13401,178,70
13405,176,65
13427,161,63
13430,160,46
13431,175,63
13432,178,67
13433,175,65
13437,172,89
13451,162,60
13455,180,68
13464,166,54
13471,175,60
13473,175,63
13476,172,68
13479,166,59
13481,160,58
13483,175,60
13489,163,63
13497,178,60
13499,175,69
13514,172,57
13515,184,95
13516,178,63
13517,170,64
13545,172,57
13547,172,56
13549,183,77
13550,171,59
13556,166,53
13558,172,61
13562,155,48
13563,166,64
13571,168,62
13572,174,65
13574,164,60
13576,173,68
13577,190,80
13578,177,69
13581,192,75
13586,160,52
13589,184,77
13593,173,63
13598,171,63
13608,180,75
13612,163,55
13616,190,78
13618,165,70
13625,170,65
13626,170,57
13628,175,78
13635,180,63
13649,164,54
13650,170,60
13654,173,65
13655,168,56
13665,154,46
13669,168,61
13670,170,55
13672,170,69
13683,188,72
13692,177,72
13701,170,58
13705,181,69
13706,175,62
13708,162,59
13712,186,70
13715,175,68
13717,183,70
13723,163,60
13729,172,58
13735,179,59
13736,175,65
13737,170,59
13738,183,68
13741,165,63
13753,193,82
13754,170,57
13757,166,60
13761,176,64
13764,172,60
13775,178,82
13786,185,76
13791,159,48
13801,164,59
13802,183,78
13806,180,69
13810,176,63
13827,160,46
13828,166,58
13831,169,57
13834,162,58
13847,174,57
13854,173,61
13855,170,65
13856,165,53
13860,165,49
13864,170,53
13870,175,71
13875,170,62
13883,167,58
13887,165,75
13891,157,46
13894,181,68
13908,167,56
13914,166,48
13915,160,50
13921,173,64
13923,175,61
13924,178,58
13937,160,54
13938,187,74
13941,170,73
13958,176,61
13963,163,67
13970,173,69
13976,165,55
13978,165,61
13981,166,60
13985,155,55
14001,175,69
14005,166,51
14014,176,64
14016,173,57
14022,159,45
14034,170,61
14042,160,52
14046,158,49
14048,165,60
14052,169,63
14055,171,61
14063,153,50
14064,172,58
14070,155,50
